node_a,node_b,weight,type,name
Parking_30,Door_054,2.854188,access,Parking_30--Door_054
Parking_100,Door_117,2.261614,access,Parking_100--Door_117
Storage_room_011,Door_069,1.300314,access,Storage_room_011--Door_069
Storage_room_013,Door_067,1.300313,access,Storage_room_013--Door_067
Parking_20,Door_154,2.798483,access,Parking_20--Door_154
Parking_27,Door_147,2.798483,access,Parking_27--Door_147
Storage_room_015,Door_065,1.30032,access,Storage_room_015--Door_065
Storage_room_012,Door_068,1.300307,access,Storage_room_012--Door_068
Parking_71,Door_113,2.798569,access,Parking_71--Door_113
Circulation_004,Door_003,12.258399,access,Circulation_004--Door_003
Circulation_004,Door_116,14.199241,access,Circulation_004--Door_116
Circulation_004,Door_018,18.847422,access,Circulation_004--Door_018
Circulation_004,Door_050,12.395504,access,Circulation_004--Door_050
Circulation_004,Door_021,4.841027,access,Circulation_004--Door_021
Circulation_004,Door_005,3.1604,access,Circulation_004--Door_005
Circulation_004,Door_020,6.306984,access,Circulation_004--Door_020
Circulation_004,Door_019,16.647297,access,Circulation_004--Door_019
Circulation_004,Door_004,12.121949,access,Circulation_004--Door_004
Circulation_004,Door_117,14.453602,access,Circulation_004--Door_117
Circulation_004,Door_014,20.194954,access,Circulation_004--Door_014
Circulation_004,Door_001,8.313236,access,Circulation_004--Door_001
Circulation_004,Door_006,3.648948,access,Circulation_004--Door_006
Circulation_012,Window_040,8.322251,access,Circulation_012--Window_040
Circulation_012,Window_037,4.339769,access,Circulation_012--Window_037
Circulation_012,Window_035,8.153298,access,Circulation_012--Window_035
Circulation_012,Window_041,10.889109,access,Circulation_012--Window_041
Circulation_012,Door_120,6.454219,access,Circulation_012--Door_120
Circulation_012,Door_126,10.742062,access,Circulation_012--Door_126
Circulation_012,Door_124,5.13611,access,Circulation_012--Door_124
Circulation_012,Door_125,7.926633,access,Circulation_012--Door_125
Circulation_012,Door_012,11.491494,access,Circulation_012--Door_012
Circulation_012,Window_034,10.708673,access,Circulation_012--Window_034
Circulation_012,Door_123,2.456873,access,Circulation_012--Door_123
Circulation_012,Window_038,4.403443,access,Circulation_012--Window_038
Circulation_012,Door_122,1.342128,access,Circulation_012--Door_122
Circulation_012,Window_036,5.876131,access,Circulation_012--Window_036
Circulation_012,Door_119,9.259994,access,Circulation_012--Door_119
Circulation_012,Door_121,3.697955,access,Circulation_012--Door_121
Circulation_012,Window_039,6.016566,access,Circulation_012--Window_039
Parking_23,Door_151,2.798484,access,Parking_23--Door_151
Storage_room_005,Door_075,1.300314,access,Storage_room_005--Door_075
Storage_room_010,Door_070,1.280414,access,Storage_room_010--Door_070
Parking8,Door_171,2.414015,access,Parking8--Door_171
Parking8,Door_170,3.304326,access,Parking8--Door_170
Parking_19,Door_155,2.798483,access,Parking_19--Door_155
Parking_21,Door_153,2.798483,access,Parking_21--Door_153
Storage_room_017,Door_063,1.300314,access,Storage_room_017--Door_063
Parking_51,Door_126,2.798484,access,Parking_51--Door_126
Storage_room_016,Door_064,1.300314,access,Storage_room_016--Door_064
Storage_room_018,Door_062,1.300313,access,Storage_room_018--Door_062
Parking7,Door_077,2.590964,access,Parking7--Door_077
Parking7,Door_172,2.762059,access,Parking7--Door_172
Parking7,Door_173,2.762058,access,Parking7--Door_173
Parking_25,Door_149,2.798483,access,Parking_25--Door_149
06_Major_Office,Door_026,3.464726,access,06_Major_Office--Door_026
09_Storage_public,Door_034,2.367778,access,09_Storage_public--Door_034
Parking_22,Door_152,2.798483,access,Parking_22--Door_152
Parking9,Door_168,2.794959,access,Parking9--Door_168
Parking9,Door_169,2.794959,access,Parking9--Door_169
Parking_54,Door_123,2.798484,access,Parking_54--Door_123
Storage_room_007,Door_073,1.300314,access,Storage_room_007--Door_073
Parking10,Door_167,2.804935,access,Parking10--Door_167
Parking10,Door_166,2.804936,access,Parking10--Door_166
Storage_room_004,Door_077,2.103583,access,Storage_room_004--Door_077
Storage_room_014,Door_066,1.300307,access,Storage_room_014--Door_066
Circulation_010,Door_059,13.520451,access,Circulation_010--Door_059
Circulation_010,Door_159,4.729454,access,Circulation_010--Door_159
Circulation_010,Door_157,9.700495,access,Circulation_010--Door_157
Circulation_010,Door_165,7.600849,access,Circulation_010--Door_165
Circulation_010,Door_167,10.347687,access,Circulation_010--Door_167
Circulation_010,Door_009,13.713996,access,Circulation_010--Door_009
Circulation_010,Door_161,2.745284,access,Circulation_010--Door_161
Circulation_010,Door_160,2.664255,access,Circulation_010--Door_160
Circulation_010,Door_163,4.939881,access,Circulation_010--Door_163
Circulation_010,Door_169,13.080194,access,Circulation_010--Door_169
Circulation_010,Door_158,7.211582,access,Circulation_010--Door_158
Storage_room_003,Door_076,2.002272,access,Storage_room_003--Door_076
Parking_18,Door_156,2.798483,access,Parking_18--Door_156
Parking_17,Door_157,3.265192,access,Parking_17--Door_157
08_Bathroom_Gym,Door_033,1.301614,access,08_Bathroom_Gym--Door_033
Parking_83,Door_095,2.798469,access,Parking_83--Door_095
Parking_99,Door_078,2.798483,access,Parking_99--Door_078
Parking_99,Window_023,2.182417,access,Parking_99--Window_023
Parking_99,Window_022,1.901165,access,Parking_99--Window_022
Parking_99,Window_024,2.648735,access,Parking_99--Window_024
Parking_99,Window_025,3.524563,access,Parking_99--Window_025
Parking_99,Window_021,3.830854,access,Parking_99--Window_021
Parking_88,Door_083,2.798484,access,Parking_88--Door_083
Parking_88,Door_089,2.798483,access,Parking_88--Door_089
Parking_96,Door_081,2.798483,access,Parking_96--Door_081
Parking_96,Window_027,2.648735,access,Parking_96--Window_027
Parking_96,Window_028,3.524563,access,Parking_96--Window_028
Parking_73,Door_112,3.295126,access,Parking_73--Door_112
Parking_65,Door_101,2.798483,access,Parking_65--Door_101
Parking_60,Door_106,2.798483,access,Parking_60--Door_106
Parking6,Window_002,3.386983,access,Parking6--Window_002
Parking6,Window_001,2.603431,access,Parking6--Window_001
Parking6,Door_162,2.810004,access,Parking6--Door_162
Circulation_005,Door_086,4.167003,access,Circulation_005--Door_086
Circulation_005,Window_019,11.414078,access,Circulation_005--Window_019
Circulation_005,Door_090,8.156014,access,Circulation_005--Door_090
Circulation_005,Door_089,5.483492,access,Circulation_005--Door_089
Circulation_005,Door_084,9.457088,access,Circulation_005--Door_084
Circulation_005,Door_088,3.118536,access,Circulation_005--Door_088
Circulation_005,Window_018,11.483815,access,Circulation_005--Window_018
Circulation_005,Door_091,10.912422,access,Circulation_005--Door_091
Circulation_005,Window_017,11.763981,access,Circulation_005--Window_017
Circulation_005,Door_001,11.362838,access,Circulation_005--Door_001
Circulation_005,Door_087,2.34315,access,Circulation_005--Door_087
Circulation_005,Door_085,6.733943,access,Circulation_005--Door_085
Circulation_006,Window_015,11.461394,access,Circulation_006--Window_015
Circulation_006,Door_107,10.996104,access,Circulation_006--Door_107
Circulation_006,Door_097,3.399795,access,Circulation_006--Door_097
Circulation_006,Door_106,8.267641,access,Circulation_006--Door_106
Circulation_006,Door_102,4.381466,access,Circulation_006--Door_102
Circulation_006,Door_094,6.868721,access,Circulation_006--Door_094
Circulation_006,Window_013,11.873319,access,Circulation_006--Window_013
Circulation_006,Door_093,9.553526,access,Circulation_006--Door_093
Circulation_006,Door_104,3.399794,access,Circulation_006--Door_104
Circulation_006,Door_005,11.362838,access,Circulation_006--Door_005
Circulation_006,Door_103,2.706231,access,Circulation_006--Door_103
Circulation_006,Door_100,10.996104,access,Circulation_006--Door_100
Circulation_006,Door_101,6.868721,access,Circulation_006--Door_101
Circulation_006,Door_095,4.381467,access,Circulation_006--Door_095
Circulation_006,Door_099,8.267642,access,Circulation_006--Door_099
Circulation_006,Door_096,2.706232,access,Circulation_006--Door_096
Circulation_006,Window_014,11.43121,access,Circulation_006--Window_014
Circulation_006,Door_092,9.553526,access,Circulation_006--Door_092
Circulation_006,Door_105,5.648187,access,Circulation_006--Door_105
Circulation_006,Door_098,5.648187,access,Circulation_006--Door_098
Circulation_007,Door_112,3.977763,access,Circulation_007--Door_112
Circulation_007,Window_011,10.258903,access,Circulation_007--Window_011
Circulation_007,Door_111,2.176806,access,Circulation_007--Door_111
Circulation_007,Window_010,10.251974,access,Circulation_007--Window_010
Circulation_007,Window_009,10.563907,access,Circulation_007--Window_009
Circulation_007,Door_115,12.071695,access,Circulation_007--Door_115
Circulation_007,Door_113,9.290655,access,Circulation_007--Door_113
Circulation_007,Door_108,8.254519,access,Circulation_007--Door_108
Circulation_007,Door_004,12.414921,access,Circulation_007--Door_004
Circulation_007,Door_110,3.124558,access,Circulation_007--Door_110
Circulation_007,Door_109,5.558393,access,Circulation_007--Door_109
Circulation_007,Door_114,6.558596,access,Circulation_007--Door_114
Parking5,Window_003,3.386982,access,Parking5--Window_003
Parking5,Window_002,2.603431,access,Parking5--Window_002
Parking5,Door_164,2.810003,access,Parking5--Door_164
